; Julio; CARRO, CART, CORACAO; 10
Fácil; Julio; CORACAO; 5
Difícil; Isaac; ; 4
Médio; Ramon; PROFESSOR, CASA, DISCORD; 60
Difícil; Ramon; PROFESSOR, CASA, DISCORD; 60
Fácil; Rafael Magno Freitas Nunes; PRIMEIRA, RESULTADOS;17
Médio; cICERO; PRIMEIRA, RESULTADOS;0
Fácil; yago; PRIMEIRA, RESULTADOS, PODEM, OUTRO, DIFERENTES, FAZER, DURANTE, SOCIAL, QUANTO;75
Fácil; baka; PRIMEIRA;9
Fácil; batata; PRIMEIRA;10
Fácil; sahlo; DEPUTADOS;10
Fácil; cabuji; PRESIDENTE;9
Médio; augusto; FORMA;12
Médio; JHOSEF; FORMA;6
Médio; YOBEL; FORMA, QUANDO;6
Médio; JOS2; MAIOR, QUANDO, MESMO;12
Fácil; ERNESTO; DURANTE;8
Fácil; EUSTAQUIO; PRESIDENTE;5
Fácil; FABRICIO; DEPUTADOS;10
Fácil; HEBER; DEPUTADOS;11
Difícil; ASDAS; APENAS;4
Fácil; KLEBER; DEPUTADOS;10
Médio; Nicolas; QUAN DO, FOR MA, FO RAM;19
Difícil; bruno; BRA-SIL, TO-DOS;15
Médio; DUDA; QUAN-DO, FOR-MA, FO-RAM;19
